id|category|app|what_it_does|auth_methods|access|surface|mcp|verdict|blocker|confidence|evidence
73|Productivity and Project Management|Linear|Issue tracking and product planning platform.|OAuth2; personal API key|Self-serve API keys and OAuth apps.|GraphQL API is broad for issues, teams, projects, cycles, comments and webhooks.|Official Linear MCP server is available.|Ready|GraphQL tool design and workspace install permissions.|High|https://developers.linear.app/docs/graphql/working-with-the-graphql-api; https://linear.app/docs/mcp
74|Productivity and Project Management|Jira|Atlassian issue tracking and project management platform.|OAuth2; API token with Basic auth; Forge app auth|Self-serve Atlassian developer apps; org admins may enforce app approval.|Very broad REST APIs for issues, projects, users, workflows, agile and admin.|Atlassian/third-party MCP options exist; official surface varies by product.|Ready|Complex permissions, Jira Cloud vs Data Center differences and write safety.|High|https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/; https://developer.atlassian.com/cloud/jira/platform/oauth-2-3lo-apps/
75|Productivity and Project Management|Asana|Work management platform for tasks, projects, portfolios and goals.|OAuth2; personal access token|Self-serve developer console and PATs; workspace admins can restrict apps.|Broad REST API for tasks, projects, users, portfolios, goals and webhooks.|No official MCP found.|Ready|Workspace/project permissions and task mutation safety.|High|https://developers.asana.com/docs; https://developers.asana.com/docs/authentication
76|Productivity and Project Management|Monday.com|Work OS for boards, items, automations and dashboards.|API token; OAuth2|Self-serve developer center and app marketplace; account plan limits apply.|Broad GraphQL API for boards, items, columns, users, updates and apps.|No official MCP found.|Ready|GraphQL complexity/rate limits and board schema discovery.|High|https://developer.monday.com/api-reference/docs; https://developer.monday.com/api-reference/docs/authentication
77|Productivity and Project Management|ClickUp|Productivity platform for tasks, docs, goals and spaces.|OAuth2; personal API token|Self-serve developer apps/tokens; workspace admins may restrict access.|Broad REST API for teams, spaces, folders, lists, tasks, docs and webhooks.|No official MCP found.|Ready|Hierarchy mapping and write safety for task/status changes.|High|https://clickup.com/api; https://clickup.com/api/developer-portal/authentication/
78|Productivity and Project Management|Coda|Collaborative docs and tables platform.|API token; OAuth2|Self-serve API tokens and OAuth apps; doc sharing controls apply.|REST API for docs, tables, rows, formulas, pages, controls and webhooks.|No official MCP found.|Ready|Doc-scoped permissions and formula/table model translation.|High|https://coda.io/developers/apis/v1; https://coda.io/developers/apis/v1#section/Authentication
79|Productivity and Project Management|Smartsheet|Work management and spreadsheet-style project platform.|OAuth2; API access token|Self-serve developer account/token; enterprise admins can restrict app access.|Broad REST API for sheets, rows, reports, workspaces, attachments and webhooks.|No official MCP found.|Ready|Sheet schema and enterprise admin restrictions.|High|https://developers.smartsheet.com/api/smartsheet/openapi; https://developers.smartsheet.com/api/smartsheet/guides/basics/authentication
80|Productivity and Project Management|Harvest|Time tracking and invoicing platform.|OAuth2; personal access token|Self-serve developer apps and PATs; account membership required.|REST API for time entries, projects, clients, invoices, expenses and users.|No official MCP found.|Ready|Account-scoped access and invoice/payment action safety.|High|https://help.getharvest.com/api-v2/; https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/
81|Finance and Fintech|Stripe|Payments and financial infrastructure platform.|Secret API key; restricted key; OAuth2 for Connect|Self-serve developer account/test mode; live mode requires business verification.|Very broad REST API for payments, customers, subscriptions, Connect, billing and treasury.|Official/community Stripe MCP resources exist.|Ready|Money movement and PII require strict confirmation and scoped keys.|High|https://docs.stripe.com/api; https://docs.stripe.com/keys
82|Finance and Fintech|Plaid|Financial data connectivity platform for bank accounts, identity and transactions.|Client ID/secret; link token; OAuth flows with institutions|Self-serve sandbox; production requires application review and compliance approval.|Broad REST API for auth, transactions, identity, liabilities, investments, income and webhooks.|No official MCP found.|Ready with review|Production approval, consent, compliance and institution-specific behavior.|High|https://plaid.com/docs/api/; https://plaid.com/docs/link/
83|Finance and Fintech|Binance|Crypto exchange APIs for spot, futures, market data and account trading.|API key/secret with HMAC signature; OAuth for selected broker flows|Self-serve API keys for exchange users; jurisdiction and account restrictions apply.|Broad REST and WebSocket APIs for market data, trading, account and futures.|No official MCP found.|Ready with risk controls|Trading/money movement risk, regional restrictions and HMAC signing.|High|https://developers.binance.com/docs; https://developers.binance.com/docs/binance-spot-api-docs/rest-api
84|Finance and Fintech|Paygent Connect|Payment gateway/connectivity product associated with Paygent/NMI-style processing.|Gateway credentials / security key likely; exact public auth not verified|Gated payment gateway access; public developer docs for this exact product were not verified.|NMI has public gateway docs, but Paygent Connect-specific API surface was not confirmed.|No official MCP found.|Outreach needed|Vendor docs and sandbox credentials require partner/customer access.|Low|https://docs.nmi.com/; https://www.paygent.co.jp/
85|Finance and Fintech|iPayX|AI/payment or fintech API platform with public docs site.|API key / bearer token likely|Docs page is public and reachable; credential path appears account-based but was not fully verified.|Documented API surface exists, but breadth/auth details need deeper account-level verification.|No official MCP found.|Investigate further|Docs are public but auth/access details need account validation.|Low|https://www.ipayx.ai/docs
86|Finance and Fintech|QuickBooks|Intuit accounting platform for invoices, customers, payments and books.|OAuth2|Self-serve Intuit developer sandbox; production app review may apply.|Broad REST Accounting API, payments, payroll-adjacent APIs and webhooks.|No official MCP found.|Ready with review|OAuth app review, accounting data sensitivity and minor-versioning.|High|https://developer.intuit.com/app/developer/qbo/docs/api/accounting/all-entities/account; https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization
87|Finance and Fintech|Xero|Cloud accounting platform for invoices, contacts, bank transactions and payroll.|OAuth2|Self-serve developer apps and demo company; app partner/review for public marketplace.|Broad REST APIs for accounting, assets, projects, files and webhooks.|No official MCP found.|Ready|OAuth tenants, accounting safety and regional payroll differences.|High|https://developer.xero.com/documentation/api/accounting/overview; https://developer.xero.com/documentation/guides/oauth2/overview/
88|Finance and Fintech|Brex|Corporate cards, spend management and banking platform.|OAuth2; API tokens / client credentials for apps|Developer docs public, but production access is tied to Brex customer/admin approval.|REST API covers expenses, cards, transactions, budgets, users and webhooks.|No official MCP found.|Ready with customer|Customer/admin access and financial controls.|Medium|https://developer.brex.com/; https://developer.brex.com/openapi/authentication/
89|Finance and Fintech|Ramp|Corporate card, expenses and procurement platform.|OAuth2; client credentials / bearer token|Docs are public, but API access is for Ramp customers/partners and app approval.|REST API covers transactions, reimbursements, bills, cards, users, departments and webhooks.|No official MCP found.|Ready with customer|Customer access, app approval and financial write safety.|Medium|https://docs.ramp.com/; https://docs.ramp.com/developer-api/v1/overview
90|Finance and Fintech|PitchBook|Private market research, company and investor data platform.|Partner/API credentials not public|Gated: API is a paid data product, generally contract/contact-sales based.|Research/data API exists as a product, but public endpoint docs are not self-serve.|No official MCP found.|Outreach needed|Commercial data licensing and non-public developer docs.|High|https://pitchbook.com/products/api; https://pitchbook.com/
91|AI, Research and Media-native|NotebookLM|Google AI notebook/research assistant for grounded notes and source Q&A.|No public NotebookLM API; Gemini APIs use API key/OAuth separately|NotebookLM itself is not a public developer API; related Gemini/Workspace APIs are self-serve.|No verified NotebookLM REST API; build against Gemini/Drive/Docs instead, not NotebookLM directly.|No official NotebookLM MCP found.|Not buildable directly|Product lacks public API; use Gemini Enterprise/Workspace APIs as adjacent path.|Medium|https://cloud.google.com/gemini/docs; https://support.google.com/notebooklm/
92|AI, Research and Media-native|Otter AI|AI meeting recorder, transcription and meeting intelligence platform.|MCP OAuth/session auth; admin APIs/webhooks for workspace customers|MCP help docs are public; admin APIs/webhooks require workspace/admin or account manager access.|MCP server and workspace webhooks are documented; broad public REST API is limited/gated.|Official Otter MCP server exists.|Ready with account|Workspace/admin access and limited public REST surface.|High|https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server; https://help.otter.ai/hc/en-us/articles/35634832371735-Workspace-Webhooks
93|AI, Research and Media-native|Fathom|AI meeting notetaker for summaries, transcripts and meeting insights.|API key bearer token; OAuth2 for public apps|Public API docs and key generation are available to users; OAuth client details may need manual request.|REST API covers meetings, recordings, transcripts, summaries, webhooks and SDKs.|Community Fathom MCP exists; no official MCP verified.|Ready|User-scoped meeting access and transcript privacy.|High|https://developers.fathom.ai/; https://help.fathom.video/en/articles/8368641
94|AI, Research and Media-native|Consensus|AI academic search engine over peer-reviewed papers.|API key / bearer token; OAuth requested for some integrations|API/MCP docs are public, but commercial API access may require account/payment.|API reference and MCP server are documented for search over research papers.|Official Consensus MCP server exists.|Ready with plan|API commercial terms and rate limits.|High|https://docs.consensus.app/reference; https://docs.consensus.app/docs/mcp
95|AI, Research and Media-native|Reducto|Document parsing and extraction API for PDFs and unstructured documents.|API key / bearer token|Self-serve docs and account path are public; usage is paid/trial based.|Documented REST API for parse, extract, split, jobs and structured outputs.|Docs expose agent/MCP metadata; no broad official MCP product beyond docs metadata verified.|Ready|Document privacy, cost and evaluation of extraction accuracy.|High|https://docs.reducto.ai/v1/introduction; https://docs.reducto.ai/llms.txt
96|AI, Research and Media-native|Devin|AI software engineering agent platform.|OAuth/MCP session; API token / enterprise credentials|Docs are public; useful API/MCP access depends on Devin account/plan.|Public docs include MCP/agent-friendly metadata and platform APIs are emerging.|Official Devin MCP/server-card metadata present in docs.|Ready with account|Account access and still-evolving agent control surface.|Medium|https://docs.devin.ai/; https://docs.devin.ai/llms.txt
97|AI, Research and Media-native|higgsfield|AI video/content creation suite with CLI-oriented workflows.|CLI login/session; API auth not clearly public|CLI page is public, but stable public API/auth docs were not verified.|CLI/product surface exists; public REST API breadth is unclear.|No official MCP found.|Investigate further|Need vendor docs for API auth, quotas and allowed automation.|Low|https://higgsfield.ai/cli; https://higgsfield.ai/
98|AI, Research and Media-native|Mermaid CLI|Open-source command-line renderer for Mermaid diagrams.|No auth; local CLI|Fully self-serve open-source package.|No hosted API needed; local CLI renders diagrams to SVG/PNG/PDF.|No official MCP required; easy local tool wrapper.|Ready|Sandboxing file IO and rendering untrusted diagrams safely.|High|https://github.com/mermaid-js/mermaid-cli; https://mermaid.js.org/
99|AI, Research and Media-native|YouTube Transcript|Transcript API service for retrieving YouTube transcripts.|API key / bearer token|Self-serve API product; paid/free trial depends on provider plan.|Focused REST API for transcript retrieval, languages and formatting.|No official MCP found.|Ready|Third-party dependency and YouTube policy/availability limits.|Medium|https://transcriptapi.com/; https://transcriptapi.com/docs
100|AI, Research and Media-native|Grain|AI meeting recording, transcript, clip and note platform.|Workspace access token; OAuth2|API docs are public; workspace API requires Business plan/admin access for broad workspace data.|REST API covers meetings, recordings, notes/highlights and workspace data with OAuth/WAT modes.|No official MCP found.|Ready with plan|Business-plan gate and meeting-data privacy.|High|https://developers.grain.com/; https://grain.com/release-notes
